root,node,count
ProductCost,ProductPrice,6
ProductCost,LeadTime,5
ProductFamily,Seasonality,5
ProductPrice,CustomerOrderVariation,7
Seasonality,ProductCost,12
Seasonality,ProductFamily,3
ProductCost,CustomerOrderVariation,16
ProductFamily,CustomerOrderVariation,12
ProductType,CustomerBuyingHabits,12
ProductPrice,LeadTime,10
CustomerOrderVariation,CustomerBuyingHabits,20
CustomerOrderVariation,LeadTime,15
CustomerBuyingHabits,Seasonality,25
ProductFamily,Seasonality,11
CustomerOrderVariation,Seasonality,9
ProductType,Seasonality,15
ProductFamily,ProductType,30
LeadTime,Seasonality,12
LeadTime,Seasonality,9
ProductCost,Seasonality,5
ProductType,Seasonality,6
ProductPrice,Seasonality,2
LeadTime,Seasonality,3
CustomerBuyingHabits,ProductPrice,15
CustomerBuyingHabits,LeadTime,9